country,date,accumulated_comfirmed,increase_of_confirmed,increased_of_confirmed
Holy See,2020-03-08,1,0.0,0
Holy See,2020-03-05,0,-1.0,-1
Holy See,2020-03-17,1,1.0,1
Holy See,2020-03-10,1,0.0,0
Holy See,2020-03-22,1,0.0,0
Honduras,2020-03-15,3,0.0,0
Honduras,2020-03-02,0,-3.0,-3
Honduras,2020-03-26,52,52.0,52
Honduras,2020-03-12,2,-50.0,-50
Honduras,2020-03-16,6,4.0,4
Honduras,2020-03-27,68,62.0,62
Honduras,2020-03-13,2,-66.0,-66
Honduras,2020-03-01,0,-2.0,-2
Honduras,2020-03-04,0,0.0,0
Honduras,2020-03-14,2,2.0,2
Honduras,2020-03-10,0,-2.0,-2
Honduras,2020-03-23,30,30.0,30
Honduras,2020-03-19,12,-18.0,-18
Honduras,2020-03-18,9,-3.0,-3
Honduras,2020-03-24,30,21.0,21
Honduras,2020-03-09,0,-30.0,-30
Honduras,2020-03-06,0,0.0,0
Honduras,2020-03-03,0,0.0,0
Honduras,2020-03-22,26,26.0,26
Honduras,2020-03-20,24,-2.0,-2
Honduras,2020-03-08,0,-24.0,-24
Honduras,2020-03-07,0,0.0,0
Honduras,2020-03-17,8,8.0,8
Honduras,2020-03-25,36,28.0,28
Honduras,2020-03-21,24,-12.0,-12
Honduras,2020-03-11,2,-22.0,-22
Honduras,2020-03-05,0,-2.0,-2
Hungary,2020-03-04,2,0.0,0
Hungary,2020-03-24,187,185.0,185
Hungary,2020-03-26,261,74.0,74
Hungary,2020-03-02,0,-261.0,-261
Hungary,2020-03-11,13,13.0,13
Hungary,2020-03-17,50,37.0,37
Hungary,2020-03-18,58,8.0,8
Hungary,2020-03-10,9,-49.0,-49
Hungary,2020-03-15,32,23.0,23
Hungary,2020-03-23,167,135.0,135
Hungary,2020-03-13,19,-148.0,-148
Hungary,2020-03-25,226,207.0,207
Hungary,2020-03-19,73,-153.0,-153
Hungary,2020-03-09,9,-64.0,-64
Hungary,2020-03-06,2,-7.0,-7
Hungary,2020-03-22,131,129.0,129
Hungary,2020-03-27,300,169.0,169
Hungary,2020-03-14,30,-270.0,-270
Hungary,2020-03-01,0,-30.0,-30
Hungary,2020-03-20,85,85.0,85
Hungary,2020-03-08,7,-78.0,-78
Hungary,2020-03-07,4,-3.0,-3
Hungary,2020-03-21,103,99.0,99
Hungary,2020-03-05,2,-101.0,-101
Hungary,2020-03-16,39,37.0,37
Hungary,2020-03-03,0,-39.0,-39
Hungary,2020-03-12,13,13.0,13
Iceland,2020-03-16,180,0.0,0
Iceland,2020-03-19,330,150.0,150
Iceland,2020-03-11,85,-245.0,-245
Iceland,2020-03-04,26,-59.0,-59
Iceland,2020-03-18,250,224.0,224
Iceland,2020-03-08,50,-200.0,-200
Iceland,2020-03-09,58,8.0,8
Iceland,2020-03-07,50,-8.0,-8
Iceland,2020-03-12,103,53.0,53
Iceland,2020-03-06,43,-60.0,-60
Iceland,2020-03-20,409,366.0,366
Iceland,2020-03-01,3,-406.0,-406
Iceland,2020-03-22,568,565.0,565
Iceland,2020-03-27,890,322.0,322
Iceland,2020-03-14,156,-734.0,-734
Iceland,2020-03-24,648,492.0,492
Iceland,2020-03-02,6,-642.0,-642
Iceland,2020-03-10,69,63.0,63
Iceland,2020-03-26,802,733.0,733
Iceland,2020-03-15,171,-631.0,-631
Iceland,2020-03-03,11,-160.0,-160
Iceland,2020-03-23,588,577.0,577
Iceland,2020-03-13,134,-454.0,-454
Iceland,2020-03-25,737,603.0,603
Iceland,2020-03-17,220,-517.0,-517
Iceland,2020-03-21,473,253.0,253
Iceland,2020-03-05,34,-439.0,-439
India,2020-03-11,62,0.0,0
India,2020-03-07,34,-28.0,-28
India,2020-03-24,536,502.0,502
India,2020-03-14,102,-434.0,-434
India,2020-03-23,499,397.0,397
India,2020-03-27,887,388.0,388
India,2020-03-10,56,-831.0,-831
India,2020-03-01,3,-53.0,-53
India,2020-03-15,113,110.0,110
India,2020-03-22,396,283.0,283
India,2020-03-25,657,261.0,261
India,2020-03-20,244,-413.0,-413
India,2020-03-19,194,-50.0,-50
India,2020-03-03,5,-189.0,-189
India,2020-03-02,5,0.0,0
India,2020-03-06,31,26.0,26
India,2020-03-12,73,42.0,42
India,2020-03-17,142,69.0,69
India,2020-03-18,156,14.0,14
India,2020-03-05,30,-126.0,-126
India,2020-03-26,727,697.0,697
India,2020-03-16,119,-608.0,-608
India,2020-03-04,28,-91.0,-91
India,2020-03-13,82,54.0,54
India,2020-03-21,330,248.0,248
India,2020-03-08,39,-291.0,-291
India,2020-03-09,43,4.0,4
Indonesia,2020-03-02,2,0.0,0
Indonesia,2020-03-19,311,309.0,309
Indonesia,2020-03-26,893,582.0,582
Indonesia,2020-03-18,227,-666.0,-666
Indonesia,2020-03-27,1046,819.0,819
Indonesia,2020-03-06,4,-1042.0,-1042
Indonesia,2020-03-10,27,23.0,23
Indonesia,2020-03-16,134,107.0,107
Indonesia,2020-03-13,69,-65.0,-65
Indonesia,2020-03-09,19,-50.0,-50
Indonesia,2020-03-22,514,495.0,495
Indonesia,2020-03-05,2,-512.0,-512
Indonesia,2020-03-15,117,115.0,115
Indonesia,2020-03-23,579,462.0,462
Indonesia,2020-03-01,0,-579.0,-579
Indonesia,2020-03-08,6,6.0,6
Indonesia,2020-03-12,34,28.0,28
Indonesia,2020-03-04,2,-32.0,-32
Indonesia,2020-03-24,686,684.0,684
Indonesia,2020-03-11,34,-652.0,-652
Indonesia,2020-03-03,2,-32.0,-32
Indonesia,2020-03-07,4,2.0,2
Indonesia,2020-03-20,369,365.0,365
Indonesia,2020-03-14,96,-273.0,-273
Indonesia,2020-03-25,790,694.0,694
Indonesia,2020-03-21,450,-340.0,-340
Indonesia,2020-03-17,172,-278.0,-278
Iran,2020-03-16,14991,0.0,0
Iran,2020-03-02,1501,-13490.0,-13490
Iran,2020-03-08,6566,5065.0,5065
Iran,2020-03-04,2922,-3644.0,-3644
Iran,2020-03-25,27017,24095.0,24095
Iran,2020-03-18,17361,-9656.0,-9656
Iran,2020-03-19,18407,1046.0,1046
Iran,2020-03-21,20610,2203.0,2203
Iran,2020-03-11,9000,-11610.0,-11610
Iran,2020-03-20,19644,10644.0,10644
Iran,2020-03-10,8042,-11602.0,-11602
Iran,2020-03-13,11364,3322.0,3322
Iran,2020-03-05,3513,-7851.0,-7851
Iran,2020-03-07,5823,2310.0,2310
Iran,2020-03-03,2336,-3487.0,-3487
Iran,2020-03-12,10075,7739.0,7739
Iran,2020-03-09,7161,-2914.0,-2914
Iran,2020-03-17,16169,9008.0,9008
Iran,2020-03-24,24811,8642.0,8642
Iran,2020-03-22,21638,-3173.0,-3173
Iran,2020-03-01,978,-20660.0,-20660
Iran,2020-03-27,32332,31354.0,31354
Iran,2020-03-26,29406,-2926.0,-2926
Iran,2020-03-14,12729,-16677.0,-16677
Iran,2020-03-23,23049,10320.0,10320
Iran,2020-03-06,4747,-18302.0,-18302
Iran,2020-03-15,13938,9191.0,9191
Iraq,2020-03-14,110,0.0,0
Iraq,2020-03-16,124,14.0,14
Iraq,2020-03-27,458,334.0,334
Iraq,2020-03-15,116,-342.0,-342
Iraq,2020-03-01,19,-97.0,-97
Iraq,2020-03-13,101,82.0,82
Iraq,2020-03-11,71,-30.0,-30
Iraq,2020-03-24,316,245.0,245
Iraq,2020-03-10,71,-245.0,-245
Iraq,2020-03-26,382,311.0,311
Iraq,2020-03-07,54,-328.0,-328
Iraq,2020-03-02,26,-28.0,-28
Iraq,2020-03-05,35,9.0,9
Iraq,2020-03-20,208,173.0,173
Iraq,2020-03-23,266,58.0,58
Iraq,2020-03-25,346,80.0,80
Iraq,2020-03-08,60,-286.0,-286
Iraq,2020-03-06,40,-20.0,-20
Iraq,2020-03-04,35,-5.0,-5
Iraq,2020-03-17,154,119.0,119
Iraq,2020-03-18,164,10.0,10
Iraq,2020-03-09,60,-104.0,-104
Iraq,2020-03-12,71,11.0,11
Iraq,2020-03-03,32,-39.0,-39
Iraq,2020-03-19,192,160.0,160
Iraq,2020-03-22,233,41.0,41
Iraq,2020-03-21,214,-19.0,-19
Ireland,2020-03-18,292,0.0,0
Ireland,2020-03-16,169,-123.0,-123
Ireland,2020-03-19,557,388.0,388
Ireland,2020-03-21,785,228.0,228
Ireland,2020-03-07,18,-767.0,-767
Ireland,2020-03-01,1,-17.0,-17
Ireland,2020-03-25,1564,1563.0,1563
Ireland,2020-03-09,21,-1543.0,-1543
Ireland,2020-03-03,2,-19.0,-19
Ireland,2020-03-22,906,904.0,904
Ireland,2020-03-06,18,-888.0,-888
Ireland,2020-03-08,19,1.0,1
Ireland,2020-03-20,683,664.0,664
Ireland,2020-03-27,2121,1438.0,1438
Ireland,2020-03-14,129,-1992.0,-1992
Ireland,2020-03-13,90,-39.0,-39
Ireland,2020-03-17,223,133.0,133
Ireland,2020-03-02,1,-222.0,-222
Ireland,2020-03-10,34,33.0,33
Ireland,2020-03-05,6,-28.0,-28
Ireland,2020-03-26,1819,1813.0,1813
Ireland,2020-03-04,6,-1813.0,-1813
Ireland,2020-03-12,43,37.0,37
Ireland,2020-03-24,1329,1286.0,1286
Ireland,2020-03-11,43,-1286.0,-1286
Ireland,2020-03-15,129,86.0,86
Ireland,2020-03-23,1125,996.0,996
Israel,2020-03-27,3035,0.0,0
Israel,2020-03-14,155,-2880.0,-2880
Israel,2020-03-09,61,-94.0,-94
Israel,2020-03-26,2693,2632.0,2632
Israel,2020-03-19,427,-2266.0,-2266
Israel,2020-03-15,213,-214.0,-214
Israel,2020-03-22,883,670.0,670
Israel,2020-03-10,75,-808.0,-808
Israel,2020-03-25,2369,2294.0,2294
Israel,2020-03-01,10,-2359.0,-2359
Israel,2020-03-17,250,240.0,240
Israel,2020-03-06,37,-213.0,-213
Israel,2020-03-03,12,-25.0,-25
Israel,2020-03-23,1071,1059.0,1059
Israel,2020-03-02,10,-1061.0,-1061
Israel,2020-03-21,712,702.0,702
Israel,2020-03-24,1238,526.0,526
Israel,2020-03-11,79,-1159.0,-1159
Israel,2020-03-18,304,225.0,225
Israel,2020-03-12,100,-204.0,-204
Israel,2020-03-05,20,-80.0,-80
Israel,2020-03-07,43,23.0,23
Israel,2020-03-13,126,83.0,83
Israel,2020-03-20,529,403.0,403
Israel,2020-03-08,61,-468.0,-468
Israel,2020-03-16,218,157.0,157
Israel,2020-03-04,15,-203.0,-203
Italy,2020-03-22,59138,0.0,0
Italy,2020-03-20,47021,-12117.0,-12117
Italy,2020-03-06,4636,-42385.0,-42385
Italy,2020-03-12,12462,7826.0,7826
Italy,2020-03-02,2036,-10426.0,-10426
Italy,2020-03-19,41035,38999.0,38999
Italy,2020-03-03,2502,-38533.0,-38533
Italy,2020-03-15,24747,22245.0,22245
Italy,2020-03-11,12462,-12285.0,-12285
Italy,2020-03-14,21157,8695.0,8695
Italy,2020-03-26,80589,59432.0,59432
Italy,2020-03-01,1694,-78895.0,-78895
Italy,2020-03-04,3089,1395.0,1395
Italy,2020-03-17,31506,28417.0,28417
Italy,2020-03-08,7375,-24131.0,-24131
Italy,2020-03-24,69176,61801.0,61801
Italy,2020-03-21,53578,-15598.0,-15598
Italy,2020-03-07,5883,-47695.0,-47695
Italy,2020-03-27,86498,80615.0,80615
Italy,2020-03-16,27980,-58518.0,-58518
Italy,2020-03-10,10149,-17831.0,-17831
Italy,2020-03-09,9172,-977.0,-977
Italy,2020-03-18,35713,26541.0,26541
Italy,2020-03-13,17660,-18053.0,-18053
Italy,2020-03-23,63927,46267.0,46267
Italy,2020-03-05,3858,-60069.0,-60069
Italy,2020-03-25,74386,70528.0,70528
Jamaica,2020-03-27,26,0.0,0
Jamaica,2020-03-03,0,-26.0,-26
Jamaica,2020-03-21,16,16.0,16
Jamaica,2020-03-16,10,-6.0,-6
Jamaica,2020-03-22,19,9.0,9
Jamaica,2020-03-14,8,-11.0,-11
Jamaica,2020-03-24,21,13.0,13
Jamaica,2020-03-15,10,-11.0,-11
Jamaica,2020-03-01,0,-10.0,-10
Jamaica,2020-03-08,0,0.0,0
Jamaica,2020-03-04,0,0.0,0
Jamaica,2020-03-10,0,0.0,0
Jamaica,2020-03-19,15,15.0,15
Jamaica,2020-03-09,0,-15.0,-15
Jamaica,2020-03-17,12,12.0,12
Jamaica,2020-03-13,8,-4.0,-4
Jamaica,2020-03-25,26,18.0,18
Jamaica,2020-03-05,0,-26.0,-26
Jamaica,2020-03-12,2,2.0,2
Jamaica,2020-03-18,13,11.0,11
Jamaica,2020-03-23,19,6.0,6
Jamaica,2020-03-20,16,-3.0,-3
Jamaica,2020-03-07,0,-16.0,-16
Jamaica,2020-03-02,0,0.0,0
Jamaica,2020-03-26,26,26.0,26
Jamaica,2020-03-11,1,-25.0,-25
Jamaica,2020-03-06,0,-1.0,-1
Japan,2020-03-17,878,0.0,0
Japan,2020-03-22,1101,223.0,223
Japan,2020-03-01,256,-845.0,-845
Japan,2020-03-03,293,37.0,37
Japan,2020-03-20,963,670.0,670
Japan,2020-03-05,360,-603.0,-603
Japan,2020-03-16,839,479.0,479
Japan,2020-03-24,1193,354.0,354
Japan,2020-03-07,461,-732.0,-732
Japan,2020-03-08,502,41.0,41
Japan,2020-03-18,889,387.0,387
Japan,2020-03-13,701,-188.0,-188
Japan,2020-03-04,331,-370.0,-370
Japan,2020-03-11,639,308.0,308
Japan,2020-03-21,1007,368.0,368
Japan,2020-03-12,639,-368.0,-368
Japan,2020-03-25,1307,668.0,668
Japan,2020-03-14,773,-534.0,-534
Japan,2020-03-15,839,66.0,66
Japan,2020-03-26,1387,548.0,548
Japan,2020-03-27,1468,81.0,81
Japan,2020-03-06,420,-1048.0,-1048
Japan,2020-03-19,924,504.0,504
Japan,2020-03-09,511,-413.0,-413
Japan,2020-03-02,274,-237.0,-237
Japan,2020-03-10,581,307.0,307
Japan,2020-03-23,1128,547.0,547
Jordan,2020-03-18,52,0.0,0
Jordan,2020-03-23,127,75.0,75
Jordan,2020-03-25,172,45.0,45
Jordan,2020-03-26,212,40.0,40
Jordan,2020-03-13,1,-211.0,-211
Jordan,2020-03-03,1,0.0,0
Jordan,2020-03-08,1,0.0,0
Jordan,2020-03-07,1,0.0,0
Jordan,2020-03-04,1,0.0,0
Jordan,2020-03-15,8,7.0,7
Jordan,2020-03-11,1,-7.0,-7
Jordan,2020-03-19,69,68.0,68
Jordan,2020-03-24,154,85.0,85
Jordan,2020-03-05,1,-153.0,-153
Jordan,2020-03-09,1,0.0,0
Jordan,2020-03-17,34,33.0,33
Jordan,2020-03-21,85,51.0,51
Jordan,2020-03-20,85,0.0,0
Jordan,2020-03-01,0,-85.0,-85
Jordan,2020-03-27,235,235.0,235
Jordan,2020-03-12,1,-234.0,-234
Jordan,2020-03-22,112,111.0,111
Jordan,2020-03-16,17,-95.0,-95
Jordan,2020-03-10,1,-16.0,-16
Jordan,2020-03-06,1,0.0,0
Jordan,2020-03-14,1,0.0,0
Jordan,2020-03-02,0,-1.0,-1
Kazakhstan,2020-03-20,49,0.0,0
Kazakhstan,2020-03-11,0,-49.0,-49
Kazakhstan,2020-03-18,35,35.0,35
Kazakhstan,2020-03-06,0,-35.0,-35
Kazakhstan,2020-03-07,0,0.0,0
Kazakhstan,2020-03-24,72,72.0,72
Kazakhstan,2020-03-02,0,-72.0,-72
Kazakhstan,2020-03-23,62,62.0,62
Kazakhstan,2020-03-12,0,-62.0,-62
Kazakhstan,2020-03-26,111,111.0,111
Kazakhstan,2020-03-17,33,-78.0,-78
Kazakhstan,2020-03-03,0,-33.0,-33
Kazakhstan,2020-03-27,150,150.0,150
Kazakhstan,2020-03-01,0,-150.0,-150
Kazakhstan,2020-03-09,0,0.0,0
Kazakhstan,2020-03-16,10,10.0,10
Kazakhstan,2020-03-14,6,-4.0,-4
Kazakhstan,2020-03-22,60,54.0,54
Kazakhstan,2020-03-21,53,-7.0,-7
Kazakhstan,2020-03-05,0,-53.0,-53
Kazakhstan,2020-03-13,4,4.0,4
Kazakhstan,2020-03-15,9,5.0,5
Kazakhstan,2020-03-08,0,-9.0,-9
Kazakhstan,2020-03-25,81,81.0,81
Kazakhstan,2020-03-10,0,-81.0,-81
Kazakhstan,2020-03-19,44,44.0,44
Kazakhstan,2020-03-04,0,-44.0,-44
Kenya,2020-03-20,7,0.0,0
Kenya,2020-03-27,31,24.0,24
Kenya,2020-03-25,28,-3.0,-3
Kenya,2020-03-16,3,-25.0,-25
Kenya,2020-03-17,3,0.0,0
Kenya,2020-03-22,15,12.0,12
Kenya,2020-03-24,25,10.0,10
Kenya,2020-03-19,7,-18.0,-18
Kenya,2020-03-21,7,0.0,0
Kenya,2020-03-23,16,9.0,9
Kenya,2020-03-15,3,-13.0,-13
Kenya,2020-03-26,31,28.0,28
Kenya,2020-03-18,3,-28.0,-28
Kenya,2020-03-14,1,-2.0,-2
Kenya,2020-03-13,1,0.0,0
Kenya,2020-03-09,0,-1.0,-1
Kenya,2020-03-04,0,0.0,0
Kenya,2020-03-10,0,0.0,0
Kenya,2020-03-06,0,0.0,0
Kenya,2020-03-08,0,0.0,0
Kenya,2020-03-05,0,0.0,0
Kenya,2020-03-02,0,0.0,0
Kenya,2020-03-11,0,0.0,0
Kenya,2020-03-12,0,0.0,0
Kenya,2020-03-07,0,0.0,0
Kenya,2020-03-03,0,0.0,0
Kenya,2020-03-01,0,0.0,0
"Korea, South",2020-03-19,8565,0.0,0
"Korea, South",2020-03-06,6593,-1972.0,-1972
"Korea, South",2020-03-16,8236,1643.0,1643
"Korea, South",2020-03-09,7478,-758.0,-758
"Korea, South",2020-03-25,9137,1659.0,1659
"Korea, South",2020-03-17,8320,-817.0,-817
"Korea, South",2020-03-13,7979,-341.0,-341
"Korea, South",2020-03-12,7869,-110.0,-110
"Korea, South",2020-03-24,9037,1168.0,1168
"Korea, South",2020-03-08,7314,-1723.0,-1723
"Korea, South",2020-03-04,5621,-1693.0,-1693
"Korea, South",2020-03-11,7755,2134.0,2134
"Korea, South",2020-03-20,8652,897.0,897
"Korea, South",2020-03-27,9332,680.0,680
"Korea, South",2020-03-22,8961,-371.0,-371
"Korea, South",2020-03-14,8086,-875.0,-875
"Korea, South",2020-03-02,4335,-3751.0,-3751
"Korea, South",2020-03-23,8961,4626.0,4626
"Korea, South",2020-03-03,5186,-3775.0,-3775
"Korea, South",2020-03-07,7041,1855.0,1855
"Korea, South",2020-03-18,8413,1372.0,1372
"Korea, South",2020-03-26,9241,828.0,828
"Korea, South",2020-03-10,7513,-1728.0,-1728
"Korea, South",2020-03-01,3736,-3777.0,-3777
"Korea, South",2020-03-05,6088,2352.0,2352
"Korea, South",2020-03-15,8162,2074.0,2074
"Korea, South",2020-03-21,8799,637.0,637
Kosovo,2020-03-23,0,0.0,0
Kosovo,2020-03-12,0,0.0,0
Kosovo,2020-03-25,0,0.0,0
Kosovo,2020-03-27,86,86.0,86
Kosovo,2020-03-02,0,-86.0,-86
Kosovo,2020-03-06,0,0.0,0
Kosovo,2020-03-16,0,0.0,0
Kosovo,2020-03-11,0,0.0,0
Kosovo,2020-03-07,0,0.0,0
Kosovo,2020-03-01,0,0.0,0
Kosovo,2020-03-21,0,0.0,0
Kosovo,2020-03-03,0,0.0,0
Kosovo,2020-03-05,0,0.0,0
Kosovo,2020-03-13,0,0.0,0
Kosovo,2020-03-26,71,71.0,71
Kosovo,2020-03-15,0,-71.0,-71
Kosovo,2020-03-20,0,0.0,0
Kosovo,2020-03-14,0,0.0,0
Kosovo,2020-03-19,0,0.0,0
Kosovo,2020-03-18,0,0.0,0
Kosovo,2020-03-09,0,0.0,0
Kosovo,2020-03-08,0,0.0,0
Kosovo,2020-03-04,0,0.0,0
Kosovo,2020-03-17,0,0.0,0
Kosovo,2020-03-10,0,0.0,0
Kosovo,2020-03-22,0,0.0,0
Kosovo,2020-03-24,0,0.0,0
Kuwait,2020-03-10,69,0.0,0
Kuwait,2020-03-07,61,-8.0,-8
Kuwait,2020-03-16,123,62.0,62
Kuwait,2020-03-14,104,-19.0,-19
Kuwait,2020-03-03,56,-48.0,-48
Kuwait,2020-03-23,189,133.0,133
Kuwait,2020-03-18,142,-47.0,-47
Kuwait,2020-03-26,208,66.0,66
Kuwait,2020-03-22,188,-20.0,-20
Kuwait,2020-03-25,195,7.0,7
Kuwait,2020-03-06,58,-137.0,-137
Kuwait,2020-03-04,56,-2.0,-2
Kuwait,2020-03-13,80,24.0,24
Kuwait,2020-03-05,58,-22.0,-22
Kuwait,2020-03-11,72,14.0,14
Kuwait,2020-03-01,45,-27.0,-27
Kuwait,2020-03-19,148,103.0,103
Kuwait,2020-03-21,176,28.0,28
Kuwait,2020-03-17,130,-46.0,-46
Kuwait,2020-03-02,56,-74.0,-74
Kuwait,2020-03-08,64,8.0,8
Kuwait,2020-03-24,191,127.0,127
Kuwait,2020-03-20,159,-32.0,-32
Kuwait,2020-03-12,80,-79.0,-79
Kuwait,2020-03-15,112,32.0,32
Kuwait,2020-03-27,225,113.0,113
Kuwait,2020-03-09,64,-161.0,-161
Kyrgyzstan,2020-03-02,0,0.0,0
Kyrgyzstan,2020-03-23,16,16.0,16
Kyrgyzstan,2020-03-17,0,-16.0,-16
Kyrgyzstan,2020-03-15,0,0.0,0
Kyrgyzstan,2020-03-25,44,44.0,44
Kyrgyzstan,2020-03-21,14,-30.0,-30
Kyrgyzstan,2020-03-06,0,-14.0,-14
Kyrgyzstan,2020-03-07,0,0.0,0
Kyrgyzstan,2020-03-18,3,3.0,3
Kyrgyzstan,2020-03-20,6,3.0,3
Kyrgyzstan,2020-03-26,44,38.0,38
Kyrgyzstan,2020-03-22,14,-30.0,-30
Kyrgyzstan,2020-03-11,0,-14.0,-14
Kyrgyzstan,2020-03-13,0,0.0,0
Kyrgyzstan,2020-03-10,0,0.0,0
Kyrgyzstan,2020-03-27,58,58.0,58
Kyrgyzstan,2020-03-09,0,-58.0,-58
Kyrgyzstan,2020-03-24,42,42.0,42
Kyrgyzstan,2020-03-04,0,-42.0,-42
Kyrgyzstan,2020-03-16,0,0.0,0
Kyrgyzstan,2020-03-03,0,0.0,0
Kyrgyzstan,2020-03-14,0,0.0,0
Kyrgyzstan,2020-03-05,0,0.0,0
Kyrgyzstan,2020-03-12,0,0.0,0
Kyrgyzstan,2020-03-01,0,0.0,0
Kyrgyzstan,2020-03-19,3,3.0,3
Kyrgyzstan,2020-03-08,0,-3.0,-3
Laos,2020-03-13,0,0.0,0
Laos,2020-03-04,0,0.0,0
Laos,2020-03-02,0,0.0,0
Laos,2020-03-09,0,0.0,0
Laos,2020-03-11,0,0.0,0
Laos,2020-03-08,0,0.0,0
Laos,2020-03-15,0,0.0,0
Laos,2020-03-14,0,0.0,0
Laos,2020-03-20,0,0.0,0
Laos,2020-03-26,6,6.0,6
Laos,2020-03-18,0,-6.0,-6
Laos,2020-03-19,0,0.0,0
Laos,2020-03-22,0,0.0,0
Laos,2020-03-10,0,0.0,0
Laos,2020-03-17,0,0.0,0
Laos,2020-03-12,0,0.0,0
Laos,2020-03-24,2,2.0,2
Laos,2020-03-21,0,-2.0,-2
Laos,2020-03-05,0,0.0,0
Laos,2020-03-27,6,6.0,6
Laos,2020-03-16,0,-6.0,-6
Laos,2020-03-23,0,0.0,0
Laos,2020-03-03,0,0.0,0
Laos,2020-03-06,0,0.0,0
Laos,2020-03-25,3,3.0,3
Laos,2020-03-01,0,-3.0,-3
Laos,2020-03-07,0,0.0,0
Latvia,2020-03-07,1,0.0,0
Latvia,2020-03-10,8,7.0,7
Latvia,2020-03-22,139,131.0,131
Latvia,2020-03-09,6,-133.0,-133
Latvia,2020-03-27,280,274.0,274
Latvia,2020-03-24,197,-83.0,-83
Latvia,2020-03-15,30,-167.0,-167
Latvia,2020-03-11,10,-20.0,-20
Latvia,2020-03-20,111,101.0,101
Latvia,2020-03-26,244,133.0,133
Latvia,2020-03-18,71,-173.0,-173
Latvia,2020-03-23,180,109.0,109
Latvia,2020-03-19,86,-94.0,-94
Latvia,2020-03-06,1,-85.0,-85
Latvia,2020-03-17,49,48.0,48
Latvia,2020-03-05,1,-48.0,-48
Latvia,2020-03-12,10,9.0,9
Latvia,2020-03-14,26,16.0,16
Latvia,2020-03-13,17,-9.0,-9
Latvia,2020-03-08,2,-15.0,-15
Latvia,2020-03-16,34,32.0,32
Latvia,2020-03-25,221,187.0,187
Latvia,2020-03-04,1,-220.0,-220
Latvia,2020-03-01,0,-1.0,-1
Latvia,2020-03-03,1,1.0,1
Latvia,2020-03-21,124,123.0,123
Latvia,2020-03-02,1,-123.0,-123
Lebanon,2020-03-02,13,0.0,0
Lebanon,2020-03-17,120,107.0,107
Lebanon,2020-03-24,318,198.0,198
Lebanon,2020-03-11,61,-257.0,-257
Lebanon,2020-03-10,41,-20.0,-20
Lebanon,2020-03-06,22,-19.0,-19
Lebanon,2020-03-19,157,135.0,135
Lebanon,2020-03-14,93,-64.0,-64
Lebanon,2020-03-16,110,17.0,17
Lebanon,2020-03-20,163,53.0,53
Lebanon,2020-03-23,267,104.0,104
Lebanon,2020-03-25,333,66.0,66
Lebanon,2020-03-15,110,-223.0,-223
Lebanon,2020-03-08,32,-78.0,-78
Lebanon,2020-03-18,133,101.0,101
Lebanon,2020-03-13,77,-56.0,-56
Lebanon,2020-03-05,16,-61.0,-61
Lebanon,2020-03-27,391,375.0,375
Lebanon,2020-03-22,248,-143.0,-143
Lebanon,2020-03-21,187,-61.0,-61
Lebanon,2020-03-03,13,-174.0,-174
Lebanon,2020-03-09,32,19.0,19
Lebanon,2020-03-26,368,336.0,336
Lebanon,2020-03-07,22,-346.0,-346
Lebanon,2020-03-04,13,-9.0,-9
Lebanon,2020-03-12,61,48.0,48
Lebanon,2020-03-01,10,-51.0,-51
Liberia,2020-03-05,0,0.0,0
Liberia,2020-03-23,3,3.0,3
Liberia,2020-03-08,0,-3.0,-3
Liberia,2020-03-16,1,1.0,1
Liberia,2020-03-19,2,1.0,1
Liberia,2020-03-17,1,-1.0,-1
Liberia,2020-03-12,0,-1.0,-1
Liberia,2020-03-13,0,0.0,0
Liberia,2020-03-11,0,0.0,0
Liberia,2020-03-26,3,3.0,3
Liberia,2020-03-27,3,0.0,0
Liberia,2020-03-02,0,-3.0,-3
Liberia,2020-03-22,3,3.0,3
Liberia,2020-03-18,2,-1.0,-1
Liberia,2020-03-21,3,1.0,1
Liberia,2020-03-09,0,-3.0,-3
Liberia,2020-03-15,0,0.0,0
Liberia,2020-03-24,3,3.0,3
Liberia,2020-03-14,0,-3.0,-3
Liberia,2020-03-10,0,0.0,0
Liberia,2020-03-03,0,0.0,0
Liberia,2020-03-01,0,0.0,0
Liberia,2020-03-20,2,2.0,2
Liberia,2020-03-06,0,-2.0,-2
Liberia,2020-03-25,3,3.0,3
Liberia,2020-03-04,0,-3.0,-3
Liberia,2020-03-07,0,0.0,0
Libya,2020-03-17,0,0.0,0
Libya,2020-03-02,0,0.0,0
Libya,2020-03-26,1,1.0,1
Libya,2020-03-24,1,0.0,0
Libya,2020-03-10,0,-1.0,-1
Libya,2020-03-16,0,0.0,0
Libya,2020-03-04,0,0.0,0
Libya,2020-03-06,0,0.0,0
Libya,2020-03-12,0,0.0,0
Libya,2020-03-20,0,0.0,0
Libya,2020-03-08,0,0.0,0
Libya,2020-03-19,0,0.0,0
Libya,2020-03-14,0,0.0,0
Libya,2020-03-09,0,0.0,0
Libya,2020-03-11,0,0.0,0
Libya,2020-03-03,0,0.0,0
Libya,2020-03-27,1,1.0,1
Libya,2020-03-01,0,-1.0,-1
Libya,2020-03-07,0,0.0,0
Libya,2020-03-23,0,0.0,0
Libya,2020-03-25,1,1.0,1
Libya,2020-03-13,0,-1.0,-1
Libya,2020-03-21,0,0.0,0
Libya,2020-03-22,0,0.0,0
